state_id,dataset,model_id,subset_size,permutation_count,js_drift,bit_l1_drift,hidden_relative_l2_drift,set_disagreement
state:ca12e4440501678cf3aa38b5,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:39f9fbddcd9f39915776ec38,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:7cefcf6d309779b2af2002d2,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:654e5d8dc89e69adab6b20e0,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:aca2f6476d1357ceeb5cdd25,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:ea6fc1a4d8586d2c610735da,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:edf55a0c2c45c8208a144fb4,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:e3bea892accaecce0529910b,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:e7ceb206b5766e6205d83334,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:aa13950bbc51a3a5bd02ccb5,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:a9a1da07398c3c0766bf106f,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:0e8e725025783f4ff8ba76b3,hallusionbench,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:9dee6cf821076503a82d7415,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:0a362de1375ce91544453fcf,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:ac97e99c6363127f24db0359,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:eae8866d53843b29861a955c,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:f0c7db9d2d9bd6068e4fcab5,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:894f0a56efad7fef37515509,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:57c2ce0b8bf295b3ab7f2bf7,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:9430240adfe1e9299a6dd68b,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:697f5e45e8bb25a44fc0031e,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:e1d527993faa84c5dd11529a,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:5d0602a7022651492bf73ab4,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:1d4768fa6dd29e0a385c96d2,pope,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:630c1387075bf307e007132e,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:af03a02e69df61c7a011bdf7,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:5be673a8c0554719795b1fac,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:fda69f056650cd8f6e657b2d,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:87619b0a87de9ab9f9005d7a,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:bf0887b64308fb85ea984bce,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:e00d108e1271cef50e118f34,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:bb8e13927d76f298d7967acc,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:ea82711e65aa1cdeabad26bf,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:391e5f9ca0375fe20e8584fc,vsr,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:3d966454ecb2afe22006ec10,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:760261d9820fdade669ca06f,vsr,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
