heldout_model_id,condition,maximum_budget,target_coverage,row_count,mean_acquisition_cost,source_bit_macro_f1,six_way_macro_f1,empirical_coverage,average_set_size
google/gemma-4-E4B-it,proactive,1,0.9,780,1.0,0.8801565007499815,0.5602313773838,0.9205128205128205,2.2192307692307693
google/gemma-4-E4B-it,proactive,1,0.95,780,1.0,0.8801565007499815,0.5602313773838,0.9448717948717948,2.632051282051282
google/gemma-4-E4B-it,proactive,2,0.9,780,2.0,0.94759732172733,0.6534915938563189,0.7769230769230769,1.6833333333333333
google/gemma-4-E4B-it,proactive,2,0.95,780,2.0,0.94759732172733,0.6534915938563189,0.8666666666666667,2.246153846153846
google/gemma-4-E4B-it,proactive,3,0.9,780,2.9641025641025642,0.9741661385560129,0.6975855465054748,0.7051282051282052,1.3269230769230769
google/gemma-4-E4B-it,proactive,3,0.95,780,2.9641025641025642,0.9741661385560129,0.6975855465054748,0.8294871794871795,2.08974358974359
google/gemma-4-E4B-it,proactive,4,0.9,780,3.5435897435897434,0.9855008009463345,0.7366535902507615,0.7115384615384616,1.2474358974358974
google/gemma-4-E4B-it,proactive,4,0.95,780,3.5435897435897434,0.9855008009463345,0.7366535902507615,0.8294871794871795,2.223076923076923
google/gemma-4-E4B-it,proactive,7,0.9,780,4.5576923076923075,0.9948230746255743,0.8062710656678148,0.7115384615384616,1.3128205128205128
google/gemma-4-E4B-it,proactive,7,0.95,780,4.5576923076923075,0.9948230746255743,0.8062710656678148,0.8282051282051283,2.373076923076923
google/gemma-4-E4B-it,proactive_no_stop,1,0.9,780,1.0,0.8801565007499815,0.5602313773838,0.9205128205128205,2.2192307692307693
google/gemma-4-E4B-it,proactive_no_stop,1,0.95,780,1.0,0.8801565007499815,0.5602313773838,0.9448717948717948,2.632051282051282
google/gemma-4-E4B-it,proactive_no_stop,2,0.9,780,2.0,0.94759732172733,0.6534915938563189,0.7769230769230769,1.6833333333333333
google/gemma-4-E4B-it,proactive_no_stop,2,0.95,780,2.0,0.94759732172733,0.6534915938563189,0.8666666666666667,2.246153846153846
google/gemma-4-E4B-it,proactive_no_stop,3,0.9,780,3.0,0.9741661385560129,0.6975855465054748,0.7064102564102565,1.317948717948718
google/gemma-4-E4B-it,proactive_no_stop,3,0.95,780,3.0,0.9741661385560129,0.6975855465054748,0.8294871794871795,2.056410256410256
google/gemma-4-E4B-it,proactive_no_stop,4,0.9,780,4.0,0.9859169282361876,0.7325535236506949,0.7512820512820513,1.3102564102564103
google/gemma-4-E4B-it,proactive_no_stop,4,0.95,780,4.0,0.9859169282361876,0.7325535236506949,0.8307692307692308,2.1756410256410255
google/gemma-4-E4B-it,proactive_no_stop,7,0.9,780,6.012820512820513,0.9955654333275885,0.8115832756916302,0.8102564102564103,1.4474358974358974
google/gemma-4-E4B-it,proactive_no_stop,7,0.95,780,6.012820512820513,0.9955654333275885,0.8115832756916302,0.8743589743589744,2.396153846153846
google/gemma-4-E4B-it,random,1,0.9,780,1.0,0.8361642511430564,0.38510992191250537,0.9320512820512821,3.0012820512820513
google/gemma-4-E4B-it,random,1,0.95,780,1.0,0.8361642511430564,0.38510992191250537,0.9487179487179487,3.1256410256410256
google/gemma-4-E4B-it,random,2,0.9,780,2.0,0.8812079290809637,0.49180255712721443,0.8743589743589744,2.4987179487179487
google/gemma-4-E4B-it,random,2,0.95,780,2.0,0.8812079290809637,0.49180255712721443,0.9128205128205128,2.6974358974358976
google/gemma-4-E4B-it,random,3,0.9,780,3.0,0.9064010892822573,0.5688038154603504,0.8128205128205128,2.0307692307692307
google/gemma-4-E4B-it,random,3,0.95,780,3.0,0.9064010892822573,0.5688038154603504,0.9038461538461539,2.4833333333333334
google/gemma-4-E4B-it,random,4,0.9,780,4.0,0.9428510072135307,0.6380877307060792,0.8115384615384615,1.7602564102564102
google/gemma-4-E4B-it,random,4,0.95,780,4.0,0.9428510072135307,0.6380877307060792,0.9012820512820513,2.3653846153846154
google/gemma-4-E4B-it,random,7,0.9,780,6.012820512820513,0.9955654333275885,0.8115832756916302,0.8102564102564103,1.4474358974358974
google/gemma-4-E4B-it,random,7,0.95,780,6.012820512820513,0.9955654333275885,0.8115832756916302,0.8743589743589744,2.396153846153846
google/gemma-4-E4B-it,relation_first,1,0.9,780,1.0,0.8121458869655411,0.3021694889558329,0.9756410256410256,3.3115384615384613
google/gemma-4-E4B-it,relation_first,1,0.95,780,1.0,0.8121458869655411,0.3021694889558329,0.9871794871794872,3.5307692307692307
google/gemma-4-E4B-it,relation_first,2,0.9,780,2.0,0.9602297263692908,0.6269740699835508,0.7871794871794872,1.817948717948718
google/gemma-4-E4B-it,relation_first,2,0.95,780,2.0,0.9602297263692908,0.6269740699835508,0.8166666666666667,2.2384615384615385
google/gemma-4-E4B-it,relation_first,3,0.9,780,3.0,0.9771304474569757,0.7117881893918964,0.708974358974359,1.317948717948718
