model_id,instance_id,clean_latency_ms,acquired_probe_latency_ms,total_generation_latency_ms,normalized_latency,additional_passes
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00001865_1865,1729.9463748931885,2194.697618484497,3924.6439933776855,2.2686506647467635,2
google/gemma-4-E4B-it,pope_random_1858_random_1858,175.73142051696777,4932.357311248779,5108.088731765747,29.06758914677148,6
Qwen/Qwen3-VL-8B-Instruct,pope_random_1810_random_1810,405.3373336791992,5855.009078979492,6260.346412658691,15.444781155079559,6
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00001958_1958,1653.0554294586182,10933.409214019775,12586.464643478394,7.61406085916944,6
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00000771_771,1016.340970993042,6897.32551574707,7913.666486740112,7.786428681516068,4
Qwen/Qwen3-VL-8B-Instruct,pope_random_2661_random_2661,399.80435371398926,1994.4472312927246,2394.251585006714,5.988558060374465,5
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00000573_573,1379.967451095581,8132.076978683472,9512.044429779053,6.89294839688231,4
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00002318_2318,2673.578977584839,3083.2295417785645,5756.808519363403,2.1532217928208657,2
Qwen/Qwen3-VL-8B-Instruct,pope_random_1457_random_1457,769.834041595459,3732.3803901672363,4502.214431762695,5.848292214295935,5
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00000481_481,1022.040843963623,4736.754894256592,5758.795738220215,5.634604303959876,4
Qwen/Qwen3-VL-8B-Instruct,pope_random_2606_random_2606,148.23579788208008,3752.6204586029053,3900.8562564849854,26.31521071305646,6
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00000251_251,1187.0803833007812,9373.580932617188,10560.661315917969,8.896332097202317,6
Qwen/Qwen3-VL-8B-Instruct,pope_random_333_random_333,168.62964630126953,3092.569589614868,3261.1992359161377,19.33941811210207,5
google/gemma-4-E4B-it,hallusionbench_50_50,175.51612854003906,7616.719722747803,7792.235851287842,44.39612425424632,6
Qwen/Qwen3-VL-8B-Instruct,hallusionbench_252_252,371.52552604675293,5251.926898956299,5623.452425003052,15.136113216337641,6
Qwen/Qwen3-VL-8B-Instruct,pope_random_1665_random_1665,152.42910385131836,745.1107501983643,897.5398540496826,5.888244642080665,5
Qwen/Qwen3-VL-8B-Instruct,pope_random_2564_random_2564,324.5129585266113,3596.008539199829,3920.5214977264404,12.081247896930877,6
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00002618_2618,1409.3916416168213,10840.92092514038,12250.312566757202,8.691915153338023,6
google/gemma-4-E4B-it,pope_random_403_random_403,175.79388618469238,5370.824813842773,5546.618700027466,31.55182936339483,6
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00002766_2766,712.430477142334,6118.792533874512,6831.223011016846,9.588617037297324,6
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00002307_2307,829.6065330505371,4929.343938827515,5758.950471878052,6.941785343350514,4
google/gemma-4-E4B-it,pope_random_1702_random_1702,169.12388801574707,5084.18083190918,5253.304719924927,31.061872935630436,6
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00000913_913,722.1906185150146,6763.135194778442,7485.325813293457,10.364750830860917,6
Qwen/Qwen3-VL-8B-Instruct,vsr_41_41,136.72590255737305,5127.765417098999,5264.491319656372,38.50397928400788,5
