condition,maximum_budget,target_coverage,row_count,mean_acquisition_cost,source_bit_macro_f1,source_bit_micro_f1,six_way_macro_f1,coverage,average_set_size,pareto_nondominated
diagnostic_no_acquisition,1,0.9,2400,0.0,0.539452914166428,0.5296154547111354,0.21717530134363447,0.90375,4.710416666666666,False
diagnostic_no_acquisition,1,0.95,2400,0.0,0.539452914166428,0.5296154547111354,0.21717530134363447,0.90375,4.7491666666666665,False
diagnostic_no_acquisition,2,0.9,2400,0.0,0.5408937701575284,0.5300146412884333,0.21239298428052367,0.905,4.7404166666666665,False
diagnostic_no_acquisition,2,0.95,2400,0.0,0.5408937701575284,0.5300146412884333,0.21239298428052367,0.95875,5.4591666666666665,False
diagnostic_no_acquisition,3,0.9,2400,0.0,0.5416425150777832,0.5319265053665636,0.21811498232958657,0.9020833333333333,4.80625,False
diagnostic_no_acquisition,3,0.95,2400,0.0,0.5416425150777832,0.5319265053665636,0.21811498232958657,0.955,5.43875,False
diagnostic_no_acquisition,4,0.9,2400,0.0,0.5382448587374614,0.530242665700833,0.21375214785059413,0.9233333333333333,5.135833333333333,False
diagnostic_no_acquisition,4,0.95,2400,0.0,0.5382448587374614,0.530242665700833,0.21375214785059413,0.9516666666666667,5.442083333333334,False
diagnostic_no_acquisition,7,0.9,2400,0.0,0.5368492180203114,0.526836416926177,0.20868995933810353,0.9491666666666667,5.470416666666667,False
diagnostic_no_acquisition,7,0.95,2400,0.0,0.5368492180203114,0.526836416926177,0.20868995933810353,0.9491666666666667,5.470416666666667,False
full_teacher,7,0.9,2400,6.0,0.9945310972449599,0.9945146673026473,0.7697286824384438,0.99875,4.515416666666667,True
full_teacher,7,0.95,2400,6.0,0.9945310972449599,0.9945146673026473,0.7697286824384438,0.99875,4.515416666666667,True
grounding_first,1,0.9,2400,1.0,0.6610558756594717,0.584060932565484,0.28114625553069034,0.9866666666666667,4.55125,False
grounding_first,1,0.95,2400,1.0,0.6610558756594717,0.584060932565484,0.28114625553069034,0.9979166666666667,4.6225,False
grounding_first,2,0.9,2400,2.0,0.8415138169558946,0.8233884495566739,0.4848169843956837,0.9941666666666666,3.83125,False
grounding_first,2,0.95,2400,2.0,0.8415138169558946,0.8233884495566739,0.4848169843956837,0.9991666666666666,5.187083333333334,False
grounding_first,3,0.9,2400,3.0,0.9348807034078676,0.930460333006856,0.6670449993609356,0.9816666666666667,3.4483333333333333,False
grounding_first,3,0.95,2400,3.0,0.9348807034078676,0.930460333006856,0.6670449993609356,0.9995833333333334,4.835,False
grounding_first,4,0.9,2400,4.0,0.9668596563694608,0.9645909645909646,0.7330634300240249,0.97875,4.044583333333334,False
