heldout_model_id,condition,maximum_budget,target_coverage,row_count,mean_acquisition_cost,source_bit_macro_f1,six_way_macro_f1,empirical_coverage,average_set_size
Qwen/Qwen3-VL-8B-Instruct,grounding_first,2,0.95,780,2.0,0.8900131172324862,0.5105967909018579,1.0,4.552564102564102
Qwen/Qwen3-VL-8B-Instruct,grounding_first,3,0.9,780,3.0,0.9300394278320545,0.7123611872055392,0.9833333333333333,4.098717948717948
Qwen/Qwen3-VL-8B-Instruct,grounding_first,3,0.95,780,3.0,0.9300394278320545,0.7123611872055392,0.9935897435897436,4.208974358974359
Qwen/Qwen3-VL-8B-Instruct,grounding_first,4,0.9,780,4.0,0.9603827918781439,0.7903436106224389,0.9833333333333333,3.9256410256410255
Qwen/Qwen3-VL-8B-Instruct,grounding_first,4,0.95,780,4.0,0.9603827918781439,0.7903436106224389,0.9884615384615385,3.9974358974358974
Qwen/Qwen3-VL-8B-Instruct,grounding_first,7,0.9,780,6.012820512820513,0.9777700272616024,0.8371790152044111,0.985897435897436,3.8897435897435897
Qwen/Qwen3-VL-8B-Instruct,grounding_first,7,0.95,780,6.012820512820513,0.9777700272616024,0.8371790152044111,0.9948717948717949,3.9602564102564104
Qwen/Qwen3-VL-8B-Instruct,proactive,1,0.9,780,1.0,0.7978810285840415,0.40859266890674667,0.9743589743589743,3.567948717948718
Qwen/Qwen3-VL-8B-Instruct,proactive,1,0.95,780,1.0,0.7978810285840415,0.40859266890674667,0.982051282051282,3.6487179487179486
Qwen/Qwen3-VL-8B-Instruct,proactive,2,0.9,780,1.9987179487179487,0.8447351349292167,0.5614351068980749,0.985897435897436,3.721794871794872
Qwen/Qwen3-VL-8B-Instruct,proactive,2,0.95,780,1.9987179487179487,0.8447351349292167,0.5614351068980749,0.9948717948717949,4.2987179487179485
Qwen/Qwen3-VL-8B-Instruct,proactive,3,0.9,780,2.982051282051282,0.911479578035601,0.6679807950396826,0.9910256410256411,4.074358974358974
Qwen/Qwen3-VL-8B-Instruct,proactive,3,0.95,780,2.982051282051282,0.911479578035601,0.6679807950396826,0.9935897435897436,4.197435897435898
Qwen/Qwen3-VL-8B-Instruct,proactive,4,0.9,780,3.8384615384615386,0.9474925502090188,0.7412032502350739,0.9910256410256411,3.967948717948718
Qwen/Qwen3-VL-8B-Instruct,proactive,4,0.95,780,3.8384615384615386,0.9474925502090188,0.7412032502350739,0.9923076923076923,4.044871794871795
Qwen/Qwen3-VL-8B-Instruct,proactive,7,0.9,780,4.914102564102564,0.9691498473404773,0.7927463381189991,0.9910256410256411,3.9410256410256412
Qwen/Qwen3-VL-8B-Instruct,proactive,7,0.95,780,4.914102564102564,0.9691498473404773,0.7927463381189991,0.9961538461538462,4.0
Qwen/Qwen3-VL-8B-Instruct,proactive_no_stop,1,0.9,780,1.0,0.7978810285840415,0.40859266890674667,0.9743589743589743,3.567948717948718
Qwen/Qwen3-VL-8B-Instruct,proactive_no_stop,1,0.95,780,1.0,0.7978810285840415,0.40859266890674667,0.982051282051282,3.6487179487179486
Qwen/Qwen3-VL-8B-Instruct,proactive_no_stop,2,0.9,780,2.0,0.8447351349292167,0.5614351068980749,0.985897435897436,3.721794871794872
Qwen/Qwen3-VL-8B-Instruct,proactive_no_stop,2,0.95,780,2.0,0.8447351349292167,0.5614351068980749,0.9948717948717949,4.2987179487179485
Qwen/Qwen3-VL-8B-Instruct,proactive_no_stop,3,0.9,780,3.0,0.911479578035601,0.6689519553792915,0.9897435897435898,4.069230769230769
Qwen/Qwen3-VL-8B-Instruct,proactive_no_stop,3,0.95,780,3.0,0.911479578035601,0.6689519553792915,0.9935897435897436,4.193589743589744
Qwen/Qwen3-VL-8B-Instruct,proactive_no_stop,4,0.9,780,4.0,0.9487643777966358,0.7422347701267765,0.9871794871794872,3.9474358974358976
Qwen/Qwen3-VL-8B-Instruct,proactive_no_stop,4,0.95,780,4.0,0.9487643777966358,0.7422347701267765,0.9923076923076923,4.029487179487179
Qwen/Qwen3-VL-8B-Instruct,proactive_no_stop,7,0.9,780,6.012820512820513,0.9777700272616024,0.8371790152044111,0.985897435897436,3.8897435897435897
Qwen/Qwen3-VL-8B-Instruct,proactive_no_stop,7,0.95,780,6.012820512820513,0.9777700272616024,0.8371790152044111,0.9948717948717949,3.9602564102564104
Qwen/Qwen3-VL-8B-Instruct,random,1,0.9,780,1.0,0.7061078291092316,0.32714007790113725,0.9346153846153846,4.187179487179487
Qwen/Qwen3-VL-8B-Instruct,random,1,0.95,780,1.0,0.7061078291092316,0.32714007790113725,0.9397435897435897,4.262820512820513
Qwen/Qwen3-VL-8B-Instruct,random,2,0.9,780,2.0,0.7623721051662664,0.4377448262056121,0.9564102564102565,4.219230769230769
Qwen/Qwen3-VL-8B-Instruct,random,2,0.95,780,2.0,0.7623721051662664,0.4377448262056121,0.9602564102564103,4.476923076923077
Qwen/Qwen3-VL-8B-Instruct,random,3,0.9,780,3.0,0.8159886151826607,0.5424778316013857,0.9794871794871794,4.297435897435897
Qwen/Qwen3-VL-8B-Instruct,random,3,0.95,780,3.0,0.8159886151826607,0.5424778316013857,0.9833333333333333,4.384615384615385
Qwen/Qwen3-VL-8B-Instruct,random,4,0.9,780,4.0,0.8806069604526692,0.6370047980751296,0.9884615384615385,4.130769230769231
Qwen/Qwen3-VL-8B-Instruct,random,4,0.95,780,4.0,0.8806069604526692,0.6370047980751296,0.9923076923076923,4.193589743589744
Qwen/Qwen3-VL-8B-Instruct,random,7,0.9,780,6.012820512820513,0.9777700272616024,0.8371790152044111,0.985897435897436,3.8897435897435897
Qwen/Qwen3-VL-8B-Instruct,random,7,0.95,780,6.012820512820513,0.9777700272616024,0.8371790152044111,0.9948717948717949,3.9602564102564104
Qwen/Qwen3-VL-8B-Instruct,relation_first,1,0.9,780,1.0,0.7379386718600832,0.2836660905117298,0.9692307692307692,4.441025641025641
Qwen/Qwen3-VL-8B-Instruct,relation_first,1,0.95,780,1.0,0.7379386718600832,0.2836660905117298,0.9705128205128205,4.507692307692308
Qwen/Qwen3-VL-8B-Instruct,relation_first,2,0.9,780,2.0,0.8909802313851317,0.511469055960991,0.9923076923076923,4.196153846153846
Qwen/Qwen3-VL-8B-Instruct,relation_first,2,0.95,780,2.0,0.8909802313851317,0.511469055960991,1.0,4.558974358974359
Qwen/Qwen3-VL-8B-Instruct,relation_first,3,0.9,780,3.0,0.9318677041492576,0.7146610348131607,0.9833333333333333,4.098717948717948
Qwen/Qwen3-VL-8B-Instruct,relation_first,3,0.95,780,3.0,0.9318677041492576,0.7146610348131607,0.9935897435897436,4.21025641025641
Qwen/Qwen3-VL-8B-Instruct,relation_first,4,0.9,780,4.0,0.9611321665792688,0.7908532660692226,0.9833333333333333,3.928205128205128
Qwen/Qwen3-VL-8B-Instruct,relation_first,4,0.95,780,4.0,0.9611321665792688,0.7908532660692226,0.9884615384615385,4.0
Qwen/Qwen3-VL-8B-Instruct,relation_first,7,0.9,780,6.012820512820513,0.9777700272616024,0.8371790152044111,0.985897435897436,3.8897435897435897
Qwen/Qwen3-VL-8B-Instruct,relation_first,7,0.95,780,6.012820512820513,0.9777700272616024,0.8371790152044111,0.9948717948717949,3.9602564102564104
Qwen/Qwen3-VL-8B-Instruct,scalar_confidence,1,0.9,780,0.0,0.6963910101221736,0.2413216691556669,0.8153846153846154,3.4782051282051283
Qwen/Qwen3-VL-8B-Instruct,scalar_confidence,1,0.95,780,0.0,0.6963910101221736,0.2413216691556669,0.9064102564102564,5.1923076923076925
Qwen/Qwen3-VL-8B-Instruct,scalar_confidence,2,0.9,780,0.0,0.6963910101221736,0.2413216691556669,0.8153846153846154,3.4782051282051283
Qwen/Qwen3-VL-8B-Instruct,scalar_confidence,2,0.95,780,0.0,0.6963910101221736,0.2413216691556669,0.9064102564102564,5.1923076923076925
Qwen/Qwen3-VL-8B-Instruct,scalar_confidence,3,0.9,780,0.0,0.6963910101221736,0.2413216691556669,0.8153846153846154,3.4782051282051283
Qwen/Qwen3-VL-8B-Instruct,scalar_confidence,3,0.95,780,0.0,0.6963910101221736,0.2413216691556669,0.9064102564102564,5.1923076923076925
Qwen/Qwen3-VL-8B-Instruct,scalar_confidence,4,0.9,780,0.0,0.6963910101221736,0.2413216691556669,0.8153846153846154,3.4782051282051283
Qwen/Qwen3-VL-8B-Instruct,scalar_confidence,4,0.95,780,0.0,0.6963910101221736,0.2413216691556669,0.9064102564102564,5.1923076923076925
Qwen/Qwen3-VL-8B-Instruct,scalar_confidence,7,0.9,780,0.0,0.6963910101221736,0.2413216691556669,0.8153846153846154,3.4782051282051283
Qwen/Qwen3-VL-8B-Instruct,scalar_confidence,7,0.95,780,0.0,0.6963910101221736,0.2413216691556669,0.9064102564102564,5.1923076923076925
Qwen/Qwen3-VL-8B-Instruct,visual_first,1,0.9,780,1.0,0.7073436683305278,0.314602027030249,0.9448717948717948,4.0807692307692305
Qwen/Qwen3-VL-8B-Instruct,visual_first,1,0.95,780,1.0,0.7073436683305278,0.314602027030249,0.9538461538461539,4.182051282051282
Qwen/Qwen3-VL-8B-Instruct,visual_first,2,0.9,780,2.0,0.7470342374313703,0.3671752031420515,0.9782051282051282,4.141025641025641
Qwen/Qwen3-VL-8B-Instruct,visual_first,2,0.95,780,2.0,0.7470342374313703,0.3671752031420515,0.9807692307692307,4.425641025641026
Qwen/Qwen3-VL-8B-Instruct,visual_first,3,0.9,780,3.0,0.7735041264999928,0.3900601624705448,0.9884615384615385,4.2474358974358974
Qwen/Qwen3-VL-8B-Instruct,visual_first,3,0.95,780,3.0,0.7735041264999928,0.3900601624705448,0.9884615384615385,4.3820512820512825
Qwen/Qwen3-VL-8B-Instruct,visual_first,4,0.9,780,4.0,0.7836694560031363,0.39472834728961564,0.9884615384615385,4.184615384615385
Qwen/Qwen3-VL-8B-Instruct,visual_first,4,0.95,780,4.0,0.7836694560031363,0.39472834728961564,0.9897435897435898,4.269230769230769
Qwen/Qwen3-VL-8B-Instruct,visual_first,7,0.9,780,6.012820512820513,0.9777700272616024,0.8371790152044111,0.985897435897436,3.8897435897435897
Qwen/Qwen3-VL-8B-Instruct,visual_first,7,0.95,780,6.012820512820513,0.9777700272616024,0.8371790152044111,0.9948717948717949,3.9602564102564104
