model_id,instance_id,clean_latency_ms,acquired_probe_latency_ms,total_generation_latency_ms,normalized_latency,additional_passes
Qwen/Qwen3-VL-8B-Instruct,prehal_1133_1d1b10dc687391b3_159,296.5834140777588,6174.948930740356,6471.532344818115,21.820277323806774,6
google/gemma-4-E4B-it,prehal_1000202_ad4f33e89abc502c_1228,175.6570339202881,8630.961894989014,8806.618928909302,50.13530476044405,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10046016_2,581.4495086669922,10196.321725845337,10777.77123451233,18.536039800293263,5
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10050038_0,12959.550380706787,67524.80483055115,80484.35521125793,6.210428050889562,5
Qwen/Qwen3-VL-8B-Instruct,prehal_1001664_fd9f14d44d478a65_1762,291.4233207702637,15237.603664398193,15529.026985168457,53.2868369769569,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10011033_1,347.40352630615234,6004.726409912109,6352.129936218262,18.28458681395304,6
google/gemma-4-E4B-it,prehal_COCO_val2014_000000379108_d6c3d6feb3ff6912_9693,323.8692283630371,5864.28689956665,6188.1561279296875,19.106959185987105,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10243021_1,275.73347091674805,5351.646661758423,5627.380132675171,20.408766893498544,6
google/gemma-4-E4B-it,illusionbench_10082022_0,322.53313064575195,5598.686933517456,5921.220064163208,18.358486312113673,5
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10032022_0,337.3584747314453,5126.385450363159,5463.7439250946045,16.195662283107087,5
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10050023_4,249.45998191833496,6982.995510101318,7232.455492019653,28.992447752150174,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10044024_0,471.7588424682617,6952.884197235107,7424.643039703369,15.738217011168949,6
google/gemma-4-E4B-it,illusionbench_10039037_0,338.8996124267578,6889.488697052002,7228.38830947876,21.32899550317704,6
google/gemma-4-E4B-it,prehal_COCO_val2014_000000419974_4a30d4af0473ac29_6020,326.40957832336426,5707.072496414185,6033.482074737549,18.48439039604517,6
google/gemma-4-E4B-it,illusionbench_10011014_9,366.75477027893066,8878.810405731201,9245.565176010132,25.209120440283666,6
google/gemma-4-E4B-it,illusionbench_10107036_2,286.4961624145508,8370.0590133667,8656.55517578125,30.215256996201894,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10111037_2,323.6665725708008,5674.458980560303,5998.1255531311035,18.531804212864884,5
google/gemma-4-E4B-it,illusionbench_10081005_3,196.5010166168213,24968.682289123535,25165.183305740356,128.06642804710108,6
Qwen/Qwen3-VL-8B-Instruct,prehal_474d01057a719339_f1568b1496638194_6839,657.0885181427002,7510.573625564575,8167.662143707275,12.4300789287776,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10039016_1,287.4011993408203,6887.275218963623,7174.676418304443,24.963975219171626,6
Qwen/Qwen3-VL-8B-Instruct,prehal_COCO_val2014_000000010205_d3c80691d53f2b58_5616,273.52213859558105,3465.2695655822754,3738.7917041778564,13.669064315506413,3
Qwen/Qwen3-VL-8B-Instruct,prehal_855dffdd4d2bb84e_fe2a62ecfea5a393_7577,661.3576412200928,8047.662973403931,8709.020614624023,13.168397961740272,6
google/gemma-4-E4B-it,illusionbench_10044019_1,348.70004653930664,8767.166137695312,9115.86618423462,26.14242892911988,6
google/gemma-4-E4B-it,illusionbench_10201011_1,360.7330322265625,9363.44051361084,9724.173545837402,26.956703925383867,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10063008_3,555.31907081604,8732.917070388794,9288.236141204834,16.725944829439754,6
google/gemma-4-E4B-it,illusionbench_10123013_4,300.31275749206543,21659.566640853882,21959.879398345947,73.12336506026105,6
Qwen/Qwen3-VL-8B-Instruct,prehal_COCO_val2014_000000369470_9cab0cc343367d78_3987,243.38865280151367,4126.447677612305,4369.836330413818,17.954149793406646,6
google/gemma-4-E4B-it,prehal_2000095_e60571f43fe3d942_2056,306.7433834075928,21999.969005584717,22306.71238899231,72.7210873831685,6
google/gemma-4-E4B-it,prehal_COCO_val2014_000000435208_24d0db5b42812439_4713,349.75552558898926,6011.106252670288,6360.861778259277,18.186594100400754,6
Qwen/Qwen3-VL-8B-Instruct,prehal_2000657_fadea6ba7dd2e1bb_2220,289.7603511810303,7521.709203720093,7811.469554901123,26.95837965084754,4
