condition,maximum_budget,target_coverage,slice_kind,slice_value,row_count,source_bit_macro_f1,six_way_macro_f1,empirical_coverage,average_set_size,mean_acquisition_cost
proactive,3,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.9058570204144759,0.6652262308173519,0.9633333333333334,3.3833333333333333,2.9766666666666666
proactive,3,0.9,model,google/gemma-4-E4B-it,1200,0.9335179752420433,0.5997597380152452,0.9825,3.4716666666666667,2.9966666666666666
proactive,3,0.95,dataset,illusionbench,1200,0.9137454032707865,0.6442391580888792,0.9966666666666667,4.855,2.9875
proactive,3,0.95,dataset,prehal,1200,0.9215410347495047,0.6308455944747341,0.9991666666666666,4.819166666666667,2.9858333333333333
proactive,3,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.9058570204144759,0.6652262308173519,0.9983333333333333,4.789166666666667,2.9766666666666666
proactive,3,0.95,model,google/gemma-4-E4B-it,1200,0.9335179752420433,0.5997597380152452,0.9975,4.885,2.9966666666666666
proactive,4,0.9,dataset,illusionbench,1200,0.9614478980297063,0.7295347668071304,0.9783333333333334,4.095,3.9691666666666667
proactive,4,0.9,dataset,prehal,1200,0.9631199847699569,0.7096116335672048,0.9833333333333333,4.109166666666667,3.9716666666666667
proactive,4,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.9585361601106938,0.7453370383083749,0.975,4.045833333333333,3.9633333333333334
proactive,4,0.9,model,google/gemma-4-E4B-it,1200,0.9686422751667308,0.6831222206951096,0.9866666666666667,4.158333333333333,3.9775
proactive,4,0.95,dataset,illusionbench,1200,0.9614478980297063,0.7295347668071304,0.9991666666666666,4.6125,3.9691666666666667
proactive,4,0.95,dataset,prehal,1200,0.9631199847699569,0.7096116335672048,0.9975,4.6425,3.9716666666666667
proactive,4,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.9585361601106938,0.7453370383083749,0.9991666666666666,4.574166666666667,3.9633333333333334
proactive,4,0.95,model,google/gemma-4-E4B-it,1200,0.9686422751667308,0.6831222206951096,0.9975,4.680833333333333,3.9775
proactive,7,0.9,dataset,illusionbench,1200,0.990340004208227,0.7640229782733335,1.0,4.4991666666666665,5.599166666666667
proactive,7,0.9,dataset,prehal,1200,0.9859503892180782,0.7299056683190855,0.9975,4.5875,5.555833333333333
proactive,7,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.9877729990197631,0.7735369563693221,0.9983333333333333,4.5175,5.545
proactive,7,0.9,model,google/gemma-4-E4B-it,1200,0.9901888756668168,0.7126581055391372,0.9991666666666666,4.569166666666667,5.61
proactive,7,0.95,dataset,illusionbench,1200,0.990340004208227,0.7640229782733335,1.0,4.4991666666666665,5.599166666666667
proactive,7,0.95,dataset,prehal,1200,0.9859503892180782,0.7299056683190855,0.9975,4.5875,5.555833333333333
proactive,7,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.9877729990197631,0.7735369563693221,0.9983333333333333,4.5175,5.545
proactive,7,0.95,model,google/gemma-4-E4B-it,1200,0.9901888756668168,0.7126581055391372,0.9991666666666666,4.569166666666667,5.61
random,1,0.9,dataset,illusionbench,1200,0.6328872958980486,0.3093277908590373,0.9408333333333333,4.406666666666666,1.0
random,1,0.9,dataset,prehal,1200,0.6053201172782874,0.3246031652417057,0.9116666666666666,4.246666666666667,1.0
random,1,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.6717223739738806,0.361585882695173,0.9291666666666667,4.189166666666667,1.0
random,1,0.9,model,google/gemma-4-E4B-it,1200,0.5595073511007095,0.2679233872179848,0.9233333333333333,4.464166666666666,1.0
random,1,0.95,dataset,illusionbench,1200,0.6328872958980486,0.3093277908590373,0.9533333333333334,4.5775,1.0
random,1,0.95,dataset,prehal,1200,0.6053201172782874,0.3246031652417057,0.9408333333333333,4.406666666666666,1.0
random,1,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.6717223739738806,0.361585882695173,0.9575,4.38,1.0
random,1,0.95,model,google/gemma-4-E4B-it,1200,0.5595073511007095,0.2679233872179848,0.9366666666666666,4.604166666666667,1.0
random,2,0.9,dataset,illusionbench,1200,0.70341800743692,0.40086950678007743,0.95,4.1033333333333335,2.0
random,2,0.9,dataset,prehal,1200,0.6947640059282304,0.3955637288980647,0.9325,4.004166666666666,2.0
random,2,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.7469795398739209,0.4431153026778049,0.94,3.950833333333333,2.0
random,2,0.9,model,google/gemma-4-E4B-it,1200,0.6415300218739021,0.34973588019263535,0.9425,4.156666666666666,2.0
random,2,0.95,dataset,illusionbench,1200,0.70341800743692,0.40086950678007743,0.985,5.205,2.0
random,2,0.95,dataset,prehal,1200,0.6947640059282304,0.3955637288980647,0.9866666666666667,5.2091666666666665,2.0
random,2,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.7469795398739209,0.4431153026778049,0.9925,5.18,2.0
random,2,0.95,model,google/gemma-4-E4B-it,1200,0.6415300218739021,0.34973588019263535,0.9791666666666666,5.234166666666667,2.0
random,3,0.9,dataset,illusionbench,1200,0.7749078513347553,0.4919625574222654,0.9658333333333333,3.915,3.0
random,3,0.9,dataset,prehal,1200,0.7647617218635957,0.478529290906858,0.9625,3.84,3.0
random,3,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.8147738418217797,0.5307569360502308,0.9608333333333333,3.8308333333333335,3.0
random,3,0.9,model,google/gemma-4-E4B-it,1200,0.7135139339930753,0.4285972806946754,0.9675,3.924166666666667,3.0
random,3,0.95,dataset,illusionbench,1200,0.7749078513347553,0.4919625574222654,0.9908333333333333,5.010833333333333,3.0
random,3,0.95,dataset,prehal,1200,0.7647617218635957,0.478529290906858,0.9908333333333333,4.968333333333334,3.0
random,3,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.8147738418217797,0.5307569360502308,0.995,4.951666666666667,3.0
random,3,0.95,model,google/gemma-4-E4B-it,1200,0.7135139339930753,0.4285972806946754,0.9866666666666667,5.0275,3.0
random,4,0.9,dataset,illusionbench,1200,0.8487452005012458,0.5766604169686623,0.9791666666666666,4.2925,4.0
random,4,0.9,dataset,prehal,1200,0.839241877060719,0.5694328854894259,0.98,4.2525,4.0
random,4,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.8814756257260751,0.6145329522956916,0.9733333333333334,4.28,4.0
random,4,0.9,model,google/gemma-4-E4B-it,1200,0.7969004683419721,0.5197296022686763,0.9858333333333333,4.265,4.0
random,4,0.95,dataset,illusionbench,1200,0.8487452005012458,0.5766604169686623,0.9925,4.8425,4.0
random,4,0.95,dataset,prehal,1200,0.839241877060719,0.5694328854894259,0.9941666666666666,4.835833333333333,4.0
random,4,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.8814756257260751,0.6145329522956916,0.9933333333333333,4.8375,4.0
random,4,0.95,model,google/gemma-4-E4B-it,1200,0.7969004683419721,0.5197296022686763,0.9933333333333333,4.840833333333333,4.0
random,7,0.9,dataset,illusionbench,1200,0.9950258773338448,0.7738395673070834,1.0,4.5,6.0
random,7,0.9,dataset,prehal,1200,0.9940539547516822,0.7640056739715625,0.9975,4.530833333333334,6.0
random,7,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.9958307145729314,0.8068224099578346,0.9991666666666666,4.475833333333333,6.0
random,7,0.9,model,google/gemma-4-E4B-it,1200,0.9933234839836279,0.7199830918271314,0.9983333333333333,4.555,6.0
random,7,0.95,dataset,illusionbench,1200,0.9950258773338448,0.7738395673070834,1.0,4.5,6.0
random,7,0.95,dataset,prehal,1200,0.9940539547516822,0.7640056739715625,0.9975,4.530833333333334,6.0
random,7,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.9958307145729314,0.8068224099578346,0.9991666666666666,4.475833333333333,6.0
random,7,0.95,model,google/gemma-4-E4B-it,1200,0.9933234839836279,0.7199830918271314,0.9983333333333333,4.555,6.0
scalar_confidence,1,0.9,dataset,illusionbench,1200,0.5771112546646927,0.22026035231677624,0.8925,3.8808333333333334,0.0
scalar_confidence,1,0.9,dataset,prehal,1200,0.47605758991063013,0.20917430185884542,0.8408333333333333,3.725,0.0
scalar_confidence,1,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5345408702730293,0.19711544989310603,0.815,3.6633333333333336,0.0
scalar_confidence,1,0.9,model,google/gemma-4-E4B-it,1200,0.5237309062813105,0.2301195041884302,0.9183333333333333,3.9425,0.0
scalar_confidence,1,0.95,dataset,illusionbench,1200,0.5771112546646927,0.22026035231677624,0.9458333333333333,5.3075,0.0
scalar_confidence,1,0.95,dataset,prehal,1200,0.47605758991063013,0.20917430185884542,0.9325,5.326666666666667,0.0
