condition,maximum_budget,target_coverage,metric,estimate,ci_lower,ci_upper,confidence,resamples,group_count,row_count
diagnostic_no_acquisition,3,0.9,source_bit_macro_f1,0.5416425150777832,0.5219805308581793,0.5610858934499635,0.95,2000,1048,2400
diagnostic_no_acquisition,3,0.9,six_way_macro_f1,0.21811498232958657,0.20272743022414647,0.23310421377918583,0.95,2000,1048,2400
diagnostic_no_acquisition,3,0.9,empirical_coverage,0.9020833333333333,0.8887478849407784,0.914366942450824,0.95,2000,1048,2400
diagnostic_no_acquisition,3,0.9,average_set_size,4.80625,4.781725294308241,4.831103818399391,0.95,2000,1048,2400
diagnostic_no_acquisition,3,0.9,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
diagnostic_no_acquisition,3,0.95,source_bit_macro_f1,0.5416425150777832,0.5219805308581793,0.5610858934499635,0.95,2000,1048,2400
diagnostic_no_acquisition,3,0.95,six_way_macro_f1,0.21811498232958657,0.20272743022414647,0.23310421377918583,0.95,2000,1048,2400
diagnostic_no_acquisition,3,0.95,empirical_coverage,0.955,0.9464572546481526,0.9629343719230206,0.95,2000,1048,2400
diagnostic_no_acquisition,3,0.95,average_set_size,5.43875,5.41364876938684,5.462466314884627,0.95,2000,1048,2400
diagnostic_no_acquisition,3,0.95,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
diagnostic_no_acquisition,4,0.9,source_bit_macro_f1,0.5382448587374614,0.518505235294075,0.5574267553154201,0.95,2000,1048,2400
diagnostic_no_acquisition,4,0.9,six_way_macro_f1,0.21375214785059413,0.19829706933316812,0.2296878395102801,0.95,2000,1048,2400
diagnostic_no_acquisition,4,0.9,empirical_coverage,0.9233333333333333,0.9123314738182507,0.9340020389087472,0.95,2000,1048,2400
diagnostic_no_acquisition,4,0.9,average_set_size,5.135833333333333,5.1086942843594985,5.159804042703045,0.95,2000,1048,2400
diagnostic_no_acquisition,4,0.9,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
diagnostic_no_acquisition,4,0.95,source_bit_macro_f1,0.5382448587374614,0.518505235294075,0.5574267553154201,0.95,2000,1048,2400
diagnostic_no_acquisition,4,0.95,six_way_macro_f1,0.21375214785059413,0.19829706933316812,0.2296878395102801,0.95,2000,1048,2400
diagnostic_no_acquisition,4,0.95,empirical_coverage,0.9516666666666667,0.9429947407709012,0.9597652975691534,0.95,2000,1048,2400
diagnostic_no_acquisition,4,0.95,average_set_size,5.442083333333334,5.4153248649422645,5.467456053121191,0.95,2000,1048,2400
diagnostic_no_acquisition,4,0.95,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
