ablation_id,evaluation_split,augmented_max,augmented_mean,canonical_max,canonical_mean,canonical_minus_augmented_mean,comparison_average_set_size,comparison_coverage,comparison_mean_acquisition_cost,comparison_six_way_macro_f1,comparison_source_bit_macro_f1,controller_latency_ms_mean,maximum_budget,measured_examples,metric,normalized_latency_mean,reference_average_set_size,reference_coverage,reference_mean_acquisition_cost,reference_minus_comparison_average_set_size,reference_minus_comparison_coverage,reference_minus_comparison_mean_acquisition_cost,reference_minus_comparison_six_way_macro_f1,reference_minus_comparison_source_bit_macro_f1,reference_six_way_macro_f1,reference_source_bit_macro_f1,row_count,target_coverage,total_generation_latency_ms_mean
loss_only_voi,val,,,,,,2.2856125356125356,0.8881766381766382,2.0,0.7192143980891457,0.9573536197440079,,2,,,,2.1253561253561255,0.8376068376068376,1.9985754985754987,-0.16025641025641013,-0.05056980056980054,-0.0014245014245013454,-0.011956097257947884,-0.0074381886760600535,0.7072583008311978,0.9499154310679478,1404,0.9,
loss_only_voi,val,,,,,,2.7891737891737893,0.9145299145299145,2.0,0.7192143980891457,0.9573536197440079,,2,,,,2.690883190883191,0.9031339031339032,1.9985754985754987,-0.09829059829059839,-0.011396011396011319,-0.0014245014245013454,-0.011956097257947884,-0.0074381886760600535,0.7072583008311978,0.9499154310679478,1404,0.95,
loss_only_voi,val,,,,,,2.0448717948717947,0.8561253561253561,2.9074074074074074,0.7866491282567138,0.9753572979982271,,3,,,,1.9024216524216524,0.8133903133903134,2.990740740740741,-0.14245014245014231,-0.042735042735042694,0.08333333333333348,-0.0037977378163215336,-0.002462016369416231,0.7828513904403923,0.9728952816288109,1404,0.9,
loss_only_voi,val,,,,,,2.786324786324786,0.9009971509971509,2.9074074074074074,0.7866491282567138,0.9753572979982271,,3,,,,2.7037037037037037,0.8974358974358975,2.990740740740741,-0.08262108262108248,-0.0035612535612534746,0.08333333333333348,-0.0037977378163215336,-0.002462016369416231,0.7828513904403923,0.9728952816288109,1404,0.95,
loss_only_voi,val,,,,,,1.9223646723646723,0.8411680911680912,3.635327635327635,0.8151972830913645,0.9864079114267331,,4,,,,1.8183760683760684,0.8069800569800569,3.8732193732193734,-0.10398860398860399,-0.03418803418803429,0.23789173789173823,-0.008731941477286509,-0.0019486409577806896,0.806465341614078,0.9844592704689524,1404,0.9,
loss_only_voi,val,,,,,,2.8497150997150995,0.8931623931623932,3.635327635327635,0.8151972830913645,0.9864079114267331,,4,,,,2.777065527065527,0.8881766381766382,3.8732193732193734,-0.07264957264957239,-0.004985754985755042,0.23789173789173823,-0.008731941477286509,-0.0019486409577806896,0.806465341614078,0.9844592704689524,1404,0.95,
loss_only_voi,val,,,,,,1.9024216524216524,0.8568376068376068,4.4408831908831905,0.857898849718045,0.9970253667755539,,7,,,,1.7542735042735043,0.8162393162393162,5.061253561253562,-0.14814814814814814,-0.040598290598290565,0.6203703703703711,-0.008602774271513791,-0.002181091224901177,0.8492960754465312,0.9948442755506527,1404,0.9,
loss_only_voi,val,,,,,,3.7286324786324787,0.8903133903133903,4.4408831908831905,0.857898849718045,0.9970253667755539,,7,,,,3.572649572649573,0.8867521367521367,5.061253561253562,-0.15598290598290587,-0.0035612535612535856,0.6203703703703711,-0.008602774271513791,-0.002181091224901177,0.8492960754465312,0.9948442755506527,1404,0.95,
no_answer_flip,val,,,,,,2.3162393162393164,0.8675213675213675,1.0,0.5617759792750561,0.9006121019151592,,1,,,,2.5947293447293447,0.8625356125356125,1.0,0.27849002849002824,-0.004985754985755042,0.0,0.017859059081207995,-0.002531573478998239,0.5796350383562641,0.8980805284361609,1404,0.9,
no_answer_flip,val,,,,,,2.633903133903134,0.9508547008547008,1.0,0.5617759792750561,0.9006121019151592,,1,,,,3.0035612535612537,0.9131054131054132,1.0,0.3696581196581197,-0.03774928774928765,0.0,0.017859059081207995,-0.002531573478998239,0.5796350383562641,0.8980805284361609,1404,0.95,
no_answer_flip,val,,,,,,1.8034188034188035,0.8504273504273504,1.9957264957264957,0.6975916746394025,0.9516946635926952,,2,,,,2.1253561253561255,0.8376068376068376,1.9985754985754987,0.32193732193732205,-0.012820512820512775,0.002849002849002913,0.009666626191795258,-0.0017792325247473206,0.7072583008311978,0.9499154310679478,1404,0.9,
