left,right,maximum_budget,target_coverage,metric,estimate,ci_lower,ci_upper,confidence,resamples,group_count,row_count,p_value_two_sided,primary_comparison,multiplicity_correction,p_value_holm,reject_familywise
proactive,random,7,0.9,average_set_size,0.027916666666666146,-0.028664011412994125,0.08119595782503129,0.95,2000,1048,2400,0.3278360819590205,False,none,,
proactive,random,7,0.9,mean_acquisition_cost,-0.4225000000000003,-0.45325611077384886,-0.3923524522028261,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,7,0.9,source_bit_macro_f1,0.4225110238726705,0.4042165965590738,0.4402503998795131,0.95,2000,1048,2400,0.0009995002498750624,True,holm,0.0029985007496251873,True
proactive,clean_only_learned,7,0.9,empirical_coverage,0.0954166666666667,0.08312546718845204,0.10777951301810224,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,7,0.9,average_set_size,-0.21333333333333382,-0.28736462674280977,-0.13586945055953065,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,7,0.9,mean_acquisition_cost,5.5775,5.546743889226152,5.607647547797174,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,7,0.9,source_bit_macro_f1,0.46132471630350824,0.44257973387474975,0.4806953925739651,0.95,2000,1048,2400,0.0009995002498750624,True,holm,0.0029985007496251873,True
proactive,scalar_confidence,7,0.9,empirical_coverage,0.13208333333333333,0.11869313482216715,0.14611022482722671,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,7,0.9,average_set_size,0.7404166666666665,0.6613132168992294,0.8194292892974864,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,7,0.9,mean_acquisition_cost,5.5775,5.546743889226152,5.607647547797174,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,7,0.95,source_bit_macro_f1,-0.00628711004229876,-0.00869774501183036,-0.004065128992387556,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,7,0.95,empirical_coverage,0.0,-0.001252139156118609,0.0012448391254600787,0.95,2000,1048,2400,1.0,False,none,,
proactive,random,7,0.95,average_set_size,0.027916666666666146,-0.028664011412994125,0.08119595782503129,0.95,2000,1048,2400,0.3278360819590205,False,none,,
proactive,random,7,0.95,mean_acquisition_cost,-0.4225000000000003,-0.45325611077384886,-0.3923524522028261,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,7,0.95,source_bit_macro_f1,0.4225110238726705,0.4042165965590738,0.4402503998795131,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,7,0.95,empirical_coverage,0.09416666666666673,0.08234016542956961,0.10615430183306124,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,7,0.95,average_set_size,-0.24333333333333407,-0.31791463799251346,-0.16624045601375984,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,7,0.95,mean_acquisition_cost,5.5775,5.546743889226152,5.607647547797174,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,7,0.95,source_bit_macro_f1,0.46132471630350824,0.44257973387474975,0.4806953925739651,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,7,0.95,empirical_coverage,0.05958333333333332,0.0495565345466716,0.06996028840482438,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,7,0.95,average_set_size,-0.7737500000000006,-0.8502260841769897,-0.694742683296687,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,7,0.95,mean_acquisition_cost,5.5775,5.546743889226152,5.607647547797174,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
